Date,AvgDepthtoGroundwater,Rivercfc,siteID
4/1/1997,247.6,924,Avg
5/1/1997,,4745,Avg
6/1/1997,165.1,5720,Avg
7/1/1997,220.95,831,Avg
8/1/1997,215.95,991,Avg
9/1/1997,215.75,835,Avg
10/1/1997,209.75,2317,Avg
11/1/1997,281.2,1400,Avg
12/1/1997,232.55,1090,Avg
1/1/1998,235.9,938,Avg
2/1/1998,174.8,1110,Avg
3/1/1998,160.77,1558,Avg
4/1/1998,165.85,892,Avg
5/1/1998,146.27,2400,Avg
6/1/1998,185.83,502,Avg
7/1/1998,181.13,506,Avg
8/1/1998,181.68,542,Avg
9/1/1998,183.15,521,Avg
10/1/1998,185.74,433,Avg
11/1/1998,181.44,864,Avg
12/1/1998,183.22,769,Avg
1/1/1999,183.77,1028,Avg
2/1/1999,184.1,852,Avg
3/1/1999,181.23,533,Avg
4/1/1999,113.2,316,Avg
5/1/1999,206.3,3243,Avg
6/1/1999,167.9,2770,Avg
7/1/1999,178.08,958,Avg
8/1/1999,137.03,2198,Avg
9/1/1999,152.78,1018,Avg
10/1/1999,159.04,728,Avg
11/1/1999,163.73,777,Avg
12/1/1999,167.39,729,Avg
1/1/2000,165.76,779,Avg
2/1/2000,156.84,856,Avg
3/1/2000,154.9,1033,Avg
4/1/2000,144.35,740,Avg
5/1/2000,158.88,831,Avg
6/1/2000,144.94,815,Avg
7/1/2000,141.13,564,Avg
8/1/2000,152.28,572,Avg
9/1/2000,172.55,487,Avg
10/1/2000,173.55,530,Avg
11/1/2000,178.02,497,Avg
12/1/2000,175.52,636,Avg
1/1/2001,175.59,644,Avg
2/1/2001,174.4,777,Avg
3/1/2001,169.4,500,Avg
4/1/2001,167.16,431,Avg
5/1/2001,153.17,1657,Avg
6/1/2001,165.99,631,Avg
7/1/2001,177.5,383,Avg
8/1/2001,180.04,303,Avg
9/1/2001,178.52,383,Avg
10/1/2001,163.24,239,Avg
11/1/2001,177.24,580,Avg
12/1/2001,179.28,586,Avg
1/1/2002,175.46,598,Avg
2/1/2002,181.97,427,Avg
3/1/2002,178.59,363,Avg
4/1/2002,175.88,347,Avg
5/1/2002,172.04,541,Avg
6/1/2002,172.96,441,Avg
7/1/2002,178.85,345,Avg
8/1/2002,172.67,305,Avg
9/1/2002,172.57,282,Avg
10/1/2002,179.36,182,Avg
11/1/2002,180.23,379,Avg
12/1/2002,172.55,436,Avg
1/1/2003,172.57,461,Avg
2/1/2003,173.42,519,Avg
3/1/2003,158.05,364,Avg
4/1/2003,165.49,419,Avg
5/1/2003,158.22,546,Avg
6/1/2003,167.2,359,Avg
7/1/2003,174.52,299,Avg
8/1/2003,177.52,257,Avg
9/1/2003,179.67,147,Avg
10/1/2003,172.4,82,Avg
11/1/2003,162.68,462,Avg
12/1/2003,157.37,525,Avg
1/1/2004,152.8,571,Avg
2/1/2004,161.87,477,Avg
3/1/2004,156.09,698,Avg
4/1/2004,135.79,1281,Avg
5/1/2004,102.73,2154,Avg
6/1/2004,160.66,354,Avg
7/1/2004,174.84,271,Avg
8/1/2004,180.3,199,Avg
9/1/2004,179.11,132,Avg
10/1/2004,173.06,151,Avg
11/1/2004,157.62,703,Avg
12/1/2004,147.89,960,Avg
1/1/2005,157.19,737,Avg
2/1/2005,152.76,923,Avg
3/1/2005,148.92,1075,Avg
4/1/2005,97.92,3976,Avg
5/1/2005,98.46,5054,Avg
6/1/2005,107.1,4015,Avg
7/1/2005,162.76,363,Avg
8/1/2005,166.49,543,Avg
9/1/2005,188.78,297,Avg
10/1/2005,175.08,455,Avg
11/1/2005,167.55,826,Avg
12/1/2005,168.34,675,Avg
1/1/2006,157.77,553,Avg
2/1/2006,179.61,578,Avg
3/1/2006,169.1,292,Avg
4/1/2006,159.57,441,Avg
5/1/2006,163.87,406,Avg
6/1/2006,164.42,531,Avg
7/1/2006,174.54,283,Avg
8/1/2006,142.92,1542,Avg
9/1/2006,178.55,271,Avg
10/1/2006,156.5,889,Avg
11/1/2006,146.43,1090,Avg
12/1/2006,155.29,970,Avg
1/1/2007,165.52,671,Avg
2/1/2007,157.35,844,Avg
3/1/2007,132.72,1752,Avg
4/1/2007,139.21,1117,Avg
5/1/2007,115.35,2355,Avg
6/1/2007,142,841,Avg
7/1/2007,166.27,340,Avg
8/1/2007,174.48,317,Avg
9/1/2007,179.3,260,Avg
10/1/2007,177.1,202,Avg
11/1/2007,159.56,707,Avg
12/1/2007,148.97,937,Avg
1/1/2008,155.49,800,Avg
2/1/2008,150.91,1046,Avg
3/1/2008,124.7,2119,Avg
4/1/2008,107.52,2857,Avg
5/1/2008,110.33,2884,Avg
6/1/2008,109.48,2821,Avg
7/1/2008,143.4,829,Avg
8/1/2008,162.19,503,Avg
9/1/2008,170.92,367,Avg
10/1/2008,167.73,314,Avg
11/1/2008,164.64,495,Avg
12/1/2008,164.59,587,Avg
1/1/2009,157.87,783,Avg
2/1/2009,158.76,713,Avg
3/1/2009,149.87,707,Avg
4/1/2009,131.27,1378,Avg
5/1/2009,91.67,3829,Avg
6/1/2009,116.22,1962,Avg
